appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories,ratings,owners_average,MutualPlayerCount,single_player,multi_player,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free to Play,genre_Game Development,genre_Gore,genre_Indie,genre_Massively Multiplayer,genre_Movie,genre_Nudity,genre_RPG,genre_Racing,genre_Sexual Content,genre_Simulation,genre_Sports,genre_Strategy,genre_Utilities,genre_Violent,genre_Web Publishing,categories_list,Single_Player,Multi_Player
10,Counter-Strike,8894,525,157,757,12121,Action,9.99,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Family Sharing",0.95284028923432,15000000.0,831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Family Sharing']",0,1
30,Day of Defeat,158,188,15,188,110,Action,4.99,"Multi-player, Valve Anti-Cheat enabled, Family Sharing",0.8014665859147095,7500000.0,103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing']",0,1
70,Half-Life,574,50,134,75,1135,Action,9.99,"Single-player, Multi-player, PvP, Online PvP, Full controller support, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.9300851723263932,15000000.0,525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",1,1
220,Half-Life 2,838,35,350,59,1172,Action,9.99,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Includes Source SDK, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.9496392303667937,7500000.0,1068,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Includes Source SDK', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",1,0
240,Counter-Strike: Source,9450,489,394,848,9549,Action,9.99,"Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing",0.9356611754792612,15000000.0,1039,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Family Sharing']",0,1
400,Portal,316,232,155,232,580,Action,9.99,"Single-player, Steam Achievements, Full controller support, Captions available, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.9519483866981978,15000000.0,558,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Includes level editor', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",1,0
500,Left 4 Dead,1410,408,119,408,548,Action,9.99,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Captions available, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes Source SDK, Commentary available, Remote Play on TV, Remote Play Together, Family Sharing",0.8988735828324711,7500000.0,540,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",1,1
550,Left 4 Dead 2,2221,247,524,224,27735,Action,9.99,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.9689124736492056,75000000.0,2178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",1,1
620,Portal 2,905,147,508,55,2358,"Action, Adventure",9.99,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Workshop, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.972570721136958,15000000.0,1575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",1,1
620,Portal 2,905,147,508,55,2358,"Action, Adventure",9.99,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Workshop, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.972570721136958,15000000.0,1575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",1,1
730,Counter-Strike: Global Offensive,32202,1014,5435,346,1349202,"Action, Free to Play",0.0,"Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",0.8731837923224761,150000000.0,4047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",0,1
730,Counter-Strike: Global Offensive,32202,1014,5435,346,1349202,"Action, Free to Play",0.0,"Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",0.8731837923224761,150000000.0,4047,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",0,1
583950,Artifact,1216,0,480,0,60,Strategy,0.0,"Single-player, Multi-player, PvP, Online PvP, Steam Cloud",0.6364434164187505,1500000.0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Cloud']",1,1
1046930,Dota Underlords,3256,110,283,113,1644,"Casual, Free to Play, Strategy",0.0,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet",0.8119493033889839,7500000.0,230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",1,1
1046930,Dota Underlords,3256,110,283,113,1644,"Casual, Free to Play, Strategy",0.0,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet",0.8119493033889839,7500000.0,230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",1,1
1046930,Dota Underlords,3256,110,283,113,1644,"Casual, Free to Play, Strategy",0.0,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet",0.8119493033889839,7500000.0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",1,1
3300,Bejeweled 2 Deluxe,52,0,84,0,45,Casual,4.99,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.7817498529610426,75000.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",1,0
3350,Bejeweled Deluxe,160,0,160,0,12,Casual,4.99,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.7796574087116445,75000.0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",1,0
2620,Call of Duty (2003),433,0,366,0,62,Action,19.99,"Single-player, Multi-player, Family Sharing",0.8074421381048983,750000.0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Family Sharing']",1,1
3920,Sid Meier's Pirates!,532,1,406,1,146,RPG,9.99,"Single-player, Family Sharing",0.8079095625960889,350000.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Single-player', 'Family Sharing']",1,0
