appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories 1,categories 2,ratings,owners_average,MutualPlayerCount,cat_1_Multi-player,cat_1_Single-player,cat_2_Single-player,cat_2_Multi-player,Action,Adventure,Animation & Modeling,Casual,Design & Illustration,Early Access,Education,Free to Play,Game Development,Gore,Indie,Massively Multiplayer,Movie,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Utilities,Violent,Web Publishing,single player,multi player
10,Counter-Strike,8894,525,157,757,12121,['Action'],9.99,Multi-player,,0.952840289,15000000,831,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Day of Defeat,158,188,15,188,110,['Action'],4.99,Multi-player,,0.801466586,7500000,103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Half-Life,574,50,134,75,1135,['Action'],9.99,Single-player,Multi-player,0.930085172,15000000,525,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
220,Half-Life 2,838,35,350,59,1172,['Action'],9.99,Single-player,,0.94963923,7500000,1068,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,Counter-Strike: Source,9450,489,394,848,9549,['Action'],9.99,Multi-player,,0.935661175,15000000,1039,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400,Portal,316,232,155,232,580,['Action'],9.99,Single-player,,0.951948387,15000000,558,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
500,Left 4 Dead,1410,408,119,408,548,['Action'],9.99,Single-player,Multi-player,0.898873583,7500000,540,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
550,Left 4 Dead 2,2221,247,524,224,27735,['Action'],9.99,Single-player,Multi-player,0.968912474,75000000,2178,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
620,Portal 2,905,147,508,55,2358,"['Action', 'Adventure']",9.99,Single-player,Multi-player,0.972570721,15000000,1575,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
730,Counter-Strike: Global Offensive,32202,1014,5435,346,1349202,"['Action', 'Free to Play']",0,Multi-player,,0.873183792,150000000,4047,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
583950,Artifact,1216,0,480,0,60,['Strategy'],0,Single-player,Multi-player,0.636443416,1500000,87,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1046930,Dota Underlords,3256,110,283,113,1644,"['Casual', 'Free to Play', 'Strategy']",0,Single-player,Multi-player,0.811949303,7500000,230,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3300,Bejeweled 2 Deluxe,52,0,84,0,45,['Casual'],4.99,Single-player,,0.781749853,75000,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3350,Bejeweled Deluxe,160,0,160,0,12,['Casual'],4.99,Single-player,,0.779657409,75000,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2620,Call of Duty (2003),433,0,366,0,62,['Action'],19.99,Single-player,Multi-player,0.807442138,750000,49,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3920,Sid Meier's Pirates!,532,1,406,1,146,['RPG'],9.99,Single-player,,0.807909563,350000,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4000,Garry's Mod,10517,211,1291,54,25954,"['Casual', 'Indie', 'Simulation']",9.99,Single-player,Multi-player,0.962358566,35000000,1849,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
3480,Peggle Deluxe,290,244,186,454,257,['Casual'],4.99,Single-player,,0.819330215,350000,39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7400,Ricochet: Lost Worlds,0,0,0,0,1,['Casual'],0,Single-player,,0.778790122,10000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8000,Tomb Raider: Anniversary,223,0,104,0,76,"['Action', 'Adventure']",0.98,Single-player,,0.786696254,750000,50,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9500,Gish,62,0,79,0,1,"['Action', 'Adventure', 'Indie']",9.99,Single-player,Multi-player,0.775887513,350000,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2280,DOOM (1993),137,2,80,2,79,['Action'],4.99,Single-player,Multi-player,0.849291634,1500000,59,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2290,Final DOOM,23,0,7,0,3,['Action'],0,Single-player,,0.781941841,750000,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2310,Quake,256,0,47,0,112,['Action'],9.99,Single-player,Multi-player,0.836455131,1500000,56,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4760,Rome: Total War - Collection,2451,445,507,445,1039,['Strategy'],0,Single-player,Multi-player,0.83644918,1500000,71,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
8600,RACE 07,167,0,83,0,8,['Racing'],3.99,Single-player,Multi-player,0.784676014,750000,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
7670,BioShock,387,0,203,0,55,"['Action', 'RPG']",0,Single-player,,0.86092701,3500000,205,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13560,Tom Clancy's Splinter Cell,394,0,382,0,21,['Action'],9.99,Single-player,,0.787474245,750000,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16300,Everyday Shooter,101,0,101,0,0,"['Indie', 'Casual']",9.99,Single-player,,0.779381214,35000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15170,Heroes of Might & Magic V,2628,0,569,0,304,['Strategy'],2.49,Single-player,,0.789269636,750000,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20900,The Witcher: Enhanced Edition Director's Cut,876,2,203,2,882,"['Action', 'RPG']",1.49,Single-player,,0.857880662,3500000,294,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22000,World of Goo,583,0,91,0,16,['Indie'],14.99,Single-player,,0.805768554,1500000,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7450,Ricochet Infinity,0,0,0,0,1,['Casual'],0,Single-player,Multi-player,0.778790122,10000,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3540,Peggle Nights,321,0,110,0,79,['Casual'],4.99,Single-player,,0.790885493,350000,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16030,7 Wonders: Treasures of Seven,0,0,0,0,0,['Casual'],9.99,Single-player,,0.77856358,35000,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13600,Prince of Persia: The Sands of Time,368,0,104,0,40,"['Action', 'Adventure']",1.99,Single-player,,0.78756734,350000,33,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12210,Grand Theft Auto IV: The Complete Edition,1483,310,542,416,3393,"['Action', 'Adventure']",5.99,Single-player,Multi-player,0.807826173,7500000,766,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17390,SPORE,2578,60,431,60,1111,"['Action', 'Adventure', 'Casual', 'RPG', 'Simulation', 'Strategy']",19.99,Single-player,,0.874505957,3500000,199,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
