appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories,positive_ratio,ratings,owners_average,MutualPlayerCount
10,Counter-Strike,Valve,Valve,,229658,5994,"10,000,000 .. 20,000,000",8894,525,157,757,12121,Action,USD,9.99,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Family Sharing",0.9745641878702493,0.95284028923432,15000000.0,831
30,Day of Defeat,Valve,Valve,,6036,663,"5,000,000 .. 10,000,000",158,188,15,188,110,Action,USD,4.99,"Multi-player, Valve Anti-Cheat enabled, Family Sharing",0.9010300044782803,0.8014665859147095,7500000.0,103
70,Half-Life,Valve,Valve,,120187,4250,"10,000,000 .. 20,000,000",574,50,134,75,1135,Action,USD,9.99,"Single-player, Multi-player, PvP, Online PvP, Full controller support, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.9658461711548816,0.9300851723263933,15000000.0,525
220,Half-Life 2,Valve,Valve,,185015,4520,"5,000,000 .. 10,000,000",838,35,350,59,1172,Action,USD,9.99,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Includes Source SDK, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.9761521618698393,0.9496392303667937,7500000.0,1068
240,Counter-Strike: Source,Valve,Valve,,162606,6250,"10,000,000 .. 20,000,000",9450,489,394,848,9549,Action,USD,9.99,"Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing",0.9629862131046573,0.9356611754792613,15000000.0,1039
400,Portal,Valve,Valve,,152329,2339,"10,000,000 .. 20,000,000",316,232,155,232,580,Action,USD,9.99,"Single-player, Steam Achievements, Full controller support, Captions available, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0.9848772855406419,0.9519483866981978,15000000.0,558
500,Left 4 Dead,Valve,Valve,,52908,2023,"5,000,000 .. 10,000,000",1410,408,119,408,548,Action,USD,9.99,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Captions available, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes Source SDK, Commentary available, Remote Play on TV, Remote Play Together, Family Sharing",0.9631719793923286,0.8988735828324711,7500000.0,540
550,Left 4 Dead 2,Valve,Valve,,824979,20698,"50,000,000 .. 100,000,000",2221,247,524,224,27735,Action,USD,9.99,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.9755249344607929,0.9689124736492057,75000000.0,2178
620,Portal 2,Valve,Valve,,383165,4946,"10,000,000 .. 20,000,000",905,147,508,55,2358,"Action, Adventure",USD,9.99,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Workshop, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.9872562230908168,0.972570721136958,15000000.0,1575
730,Counter-Strike: Global Offensive,Valve,Valve,,6972842,1009516,"100,000,000 .. 200,000,000",32202,1014,5435,346,1349202,"Action, Free to Play",,0.0,"Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",0.8735316055731903,0.8731837923224761,150000000.0,4047
583950,Artifact,Valve,Valve,,11597,13203,"1,000,000 .. 2,000,000",1216,0,480,0,60,Strategy,,0.0,"Single-player, Multi-player, PvP, Online PvP, Steam Cloud",0.4676209677419355,0.6364434164187505,1500000.0,87
1046930,Dota Underlords,Valve,Valve,,74585,16073,"5,000,000 .. 10,000,000",3256,110,283,113,1644,"Casual, Free to Play, Strategy",,0.0,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet",0.8227073176112423,0.8119493033889839,7500000.0,230
3300,Bejeweled 2 Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,492,26,"50,000 .. 100,000",52,0,84,0,45,Casual,USD,4.99,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.9498069498069498,0.7817498529610426,75000.0,3
3350,Bejeweled Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,183,19,"50,000 .. 100,000",160,0,160,0,12,Casual,USD,4.99,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.905940594059406,0.7796574087116445,75000.0,4
